('Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         811495 function calls (787257 primitive calls) in 3.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      206    0.000    0.000    0.000    0.000 filter.py:627(_match_attribute_value_helper)
        1    0.000    0.000    0.000    0.000 _text.py:1(<module>)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
       55    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      2/1    0.000    0.000    2.338    2.338 sessions.py:673(send)
      203    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
        1    0.000    0.000    0.053    0.053 ssl_.py:1(<module>)
      195    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
      192    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        3    0.000    0.000    0.158    0.053 exceptions.py:1(<module>)
        1    0.000    0.000    0.035    0.035 client.py:1(<module>)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
      417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       64    0.000    0.000    0.001    0.000 typing.py:885(__init__)
